population,method,n,total_median_ms,total_q1_ms,total_q3_ms,total_p95_ms,total_mean_ms,total_mean_ci_low_ms,total_mean_ci_high_ms,paired_speedup_median,paired_speedup_q1,paired_speedup_q3,paired_speedup_p95,paired_speedup_mean,paired_speedup_mean_ci_low,paired_speedup_mean_ci_high,ratio_of_independent_medians,memory_peak_median_mb,initialize_median_ms,finalize_median_ms
2000,Proposed,10,4528.2507998785,4477.26989971,4769.81922492925,4997.5109702527,4641.1595799842,4484.238589490605,4798.080570477795,0.1402547135885,0.135123875526,0.14241083880975,0.1448013164483,0.1383235800127,0.1337830646124712,0.14286409541292883,0.14110345877223587,235.724609375,1.1330999986967072,41.80040000937879
2000,Simple,10,35.882550161,35.563199991750004,37.17425007175,39.26259999305,36.6135299992,35.52955159330743,37.69750840509256,17.7277337632155,17.07723604478,17.96862082598475,18.41278345936135,17.5289813959891,16.967543828156323,18.090418963821875,17.806756966383723,173.595703125,0.6532999977935106,1.1228000075789168
2000,PerAgent,10,638.9518500510001,636.129299812,642.671600137,655.6255997420999,640.7860799430999,634.244877694337,647.3272821918629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,175.3359375,3.9986500050872564,1.5700999938417226
10000,Proposed,10,4826.2934998935,4675.55582500025,4937.7540255085005,5113.2425250439,4829.0102799423,4694.147624323507,4963.872935561093,1.2954797510975,1.25306327188975,1.3630222150440001,1.38806769488275,1.3006802099035,1.251106140466757,1.350254279340243,1.2955363779895432,235.34765625,5.37385001371149,48.1840499851387
10000,Simple,10,35.990550139,35.2191999485,36.5897001755,36.86996507895,35.8778200549,35.28095054166823,36.474689568131765,173.9636442619365,170.903601954456,178.70066295589424,181.67031367163744,174.82874161529722,171.28693048077034,178.3705527498241,173.73001456821382,175.197265625,3.0502500012516975,1.028099999530241
10000,PerAgent,10,6252.6387999665,6180.533675056,6372.4573751385,6393.139489767351,6269.4215698834,6196.9156571933145,6341.927482573485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,192.275390625,20.571850007399917,4.493350017582998
20000,Proposed,10,4813.501700017499,4574.47722503975,5195.07009984225,5377.231520231299,4886.4983399868,4633.48610663439,5139.510573339209,3.943748921058,3.6527939559565,4.1440643281285,4.23477014376505,3.9086268156292,3.7100669005806917,4.107186730677709,3.9490132931222184,238.796875,11.020350008038804,56.021800002781674
20000,Simple,10,35.716349943,35.558525022,36.021899956,36.3891900048,35.7436700201,35.373796715551585,36.11354332464841,532.5085232562385,530.4339863481302,535.7182976277397,540.8515803243346,531.973422434425,526.8252569392591,537.1215879295908,532.2095407333461,180.7890625,6.200700008776039,1.0517000046093017
20000,PerAgent,10,19008.582199835502,18863.397700429,19181.750600387,19308.3660550528,19012.475360078202,18853.492811680197,19171.457908476208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,223.904296875,42.307199983042665,7.685350006795488
